Item,Data Item,Data Type,Format,"Max
Length",File,Min_Date,Max_Date,Data Element,Type,Max Length,Description
P28,Security RPB,Numeric,11.2,14.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
P29,RPB Factor,Numeric,1.8,10.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
,,,,,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
,Loan Data Portion of Record,,,,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
L1,Disclosure Sequence Number,Numeric,,10.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
L2,Case Number,String,,15.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
L3,Agency Type,String,,1.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
L4,Loan Type,String,,3.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
L5,Loan Term,Numeric,,3.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
L6,First Payment Date,Date,CCYYMMDD,8.0,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.2 (Mar 2023 - May 2023).pdf,2023-03-01,2023-05-01,,,,
